InvestorsName,TotalInvested,AvgDealSize,NumDeals,NumIndustries,NumCities,NumStages,Cluster,Archetype
1Crowd,600000.0,600000.0,1,1,1,1,0,Aggressive Investor
1Crowd (through crowd funding),200000.0,200000.0,1,1,1,1,0,Aggressive Investor
1Crowd (through crowdfunding),209000.0,209000.0,1,1,1,1,0,Aggressive Investor
"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",700000.0,700000.0,1,1,1,1,0,Aggressive Investor
3 undisclosed HNIs,2000000.0,2000000.0,1,1,1,1,0,Aggressive Investor
500 Startups,125000.0,125000.0,1,1,1,1,0,Aggressive Investor
"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",400000.0,400000.0,1,1,1,1,0,Aggressive Investor
"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",770000.0,770000.0,1,1,1,1,0,Aggressive Investor
50K Ventures,200000.0,200000.0,1,1,1,1,0,Aggressive Investor
91maker.com,300000.0,300000.0,1,1,1,1,0,Aggressive Investor
A M Sikander,45000.0,45000.0,1,1,1,1,0,Aggressive Investor
"AB Kinnevik, Falcon Edge Capital, Coatue Management",60000000.0,60000000.0,1,1,1,1,0,Aggressive Investor
ABI-Showatech (India) Ltd,600000.0,600000.0,1,1,1,1,0,Aggressive Investor
ABM Knowledgeware,2200000.0,2200000.0,1,1,1,1,0,Aggressive Investor
ADAG Reliance Private Equity,12000000.0,12000000.0,1,1,1,1,0,Aggressive Investor
APIS Partners,35000000.0,35000000.0,1,1,1,1,0,Aggressive Investor
ASK Pravi,5000000.0,5000000.0,1,1,1,1,0,Aggressive Investor
Aarin Capital,220000.0,220000.0,1,1,1,1,0,Aggressive Investor
"Aarin Capital Partners, TV Mohandas Pai",500000.0,500000.0,1,1,1,1,0,Aggressive Investor
"Aarin Capital, Michael Herzig, Ashish Lakhanpal",750000.0,750000.0,1,1,1,1,0,Aggressive Investor
"Aarin Capital, Unitus Seed Fund",3000000.0,3000000.0,1,1,1,1,0,Aggressive Investor
Aarti Group,100000.0,100000.0,1,1,1,1,0,Aggressive Investor
Aavishkaar,10000000.0,5000000.0,2,2,1,1,0,Aggressive Investor
Aavishkaar Venture Management,1000000.0,1000000.0,1,1,1,1,0,Aggressive Investor
"Abhinav Bindra, Gaurav Marya",1000000.0,1000000.0,1,1,1,1,0,Aggressive Investor
"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",595000.0,595000.0,1,1,1,1,0,Aggressive Investor
Abhishek Gupta,1200000.0,1200000.0,1,1,1,1,0,Aggressive Investor
Abraaj Group,150000000.0,150000000.0,1,1,1,1,0,Aggressive Investor
Accel Partners,31700000.0,5283333.333333333,6,4,5,2,1,Balanced Investor
Accel Partners India,5650000.0,2825000.0,2,2,1,2,0,Aggressive Investor
"Accel Partners India, RB Investments",3500000.0,3500000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",5800000.0,5800000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",2500000.0,2500000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, Flipkart",6000000.0,6000000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, Helion Venture Partners",15500000.0,7750000.0,2,2,2,1,0,Aggressive Investor
"Accel Partners, IDG Ventures India",5000000.0,5000000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",5800000.0,5800000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, IDG Ventures, Kalaari Capital",15000000.0,15000000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",37500000.0,37500000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, Jungle Ventures, SeedPlus",4200000.0,4200000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, Kalaari Capital",5000000.0,5000000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, Matrix Partners, Girish Mathrubootham",1500000.0,1500000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, Nandan Nilekani,",10000000.0,10000000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, Nandan Nilekani’s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",5500000.0,5500000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",3000000.0,3000000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, RB Investments",8000000.0,8000000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, SAIF Partners",2000000.0,2000000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, Shunwei Capital",5000000.0,5000000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",1150000.0,1150000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, Tiger Global Management",5000000.0,5000000.0,1,1,1,1,0,Aggressive Investor
"Accel Partners, Traxcn Labs & Others",1300000.0,1300000.0,1,1,1,1,0,Aggressive Investor
"Accel US, Accel India, SAIF Partners.",12000000.0,12000000.0,1,1,1,1,0,Aggressive Investor
"Accion, LeapFrog Investments, Lok Capital",25000000.0,25000000.0,1,1,1,1,0,Aggressive Investor
Acumen Fund,2700000.0,900000.0,3,3,2,2,1,Balanced Investor
Agarwal Movers Group,14900000.0,14900000.0,1,1,1,1,0,Aggressive Investor
Agnus Capital,8500000.0,4250000.0,2,2,2,1,0,Aggressive Investor
"Agnus Capital, Khattar Holdings",3600000.0,3600000.0,1,1,1,1,0,Aggressive Investor
"Ah! Ventures, Calcutta Angels,  91SpringBoard",400000.0,400000.0,1,1,1,1,0,Aggressive Investor
"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,Nitin Singhal & Others",200000.0,200000.0,1,1,1,1,0,Aggressive Investor
"Ajay Relan,",300000.0,300000.0,1,1,1,1,0,Aggressive Investor
"Ajay Relan, LetsVenture",1000000.0,1000000.0,1,1,1,1,0,Aggressive Investor
Ajeet Khurana & Others,100000.0,100000.0,1,1,1,1,0,Aggressive Investor
"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",250000.0,250000.0,1,1,1,1,0,Aggressive Investor
"Ajith Nair, Anish K",147000.0,147000.0,1,1,1,1,0,Aggressive Investor
Ajmera Group of Companies,400000.0,400000.0,1,1,1,1,0,Aggressive Investor
Al Dhaheri family,500000.0,500000.0,1,1,1,1,0,Aggressive Investor
"Alex Kuruvilla, Pradeep Guha, Saket Dhankar, Rajan Pandhare",250000.0,250000.0,1,1,1,1,0,Aggressive Investor
Alibaba,200000000.0,200000000.0,1,1,1,1,0,Aggressive Investor
"Alibaba Group, Ant Financial",680000000.0,680000000.0,1,1,1,1,2,Conservative Investor
Alibaba Pictures,35000000.0,35000000.0,1,1,1,1,0,Aggressive Investor
"Alibaba, Foxconn, Softbank",500000000.0,500000000.0,1,1,1,1,2,Conservative Investor
"Allen Blue, John Katzman, Naveen Tewari, Kartik Hosanagar, Kashyap Deorah, 500 Startups, Blue Fog Capital",1700000.0,1700000.0,1,1,1,1,0,Aggressive Investor
"Alok Bajpai, Rajnish Kumar, Amit Dey",100000.0,100000.0,1,1,1,1,0,Aggressive Investor
"Alok Mittal, Amit Gupta, Anuj Srivastava, Himanshu Aggarwal, Raghunandan G, Puneet Agarwal",400000.0,400000.0,1,1,1,1,0,Aggressive Investor
"Alok Rawat, Grey Orange Robotics",1000000.0,1000000.0,1,1,1,1,0,Aggressive Investor
Alpha Capital,20000000.0,20000000.0,1,1,1,1,0,Aggressive Investor
Alphard Maritime Group,2000000.0,2000000.0,1,1,1,1,0,Aggressive Investor
"Amazon, Fidelity Growth Partners, Mousse Partners",60000000.0,60000000.0,1,1,1,1,0,Aggressive Investor
"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",22500000.0,22500000.0,1,1,1,1,0,Aggressive Investor
"Ameera Shah, Vivek Bhargava",150000.0,150000.0,1,1,1,1,0,Aggressive Investor
"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs",200000.0,200000.0,1,1,1,1,0,Aggressive Investor
"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &  Group of other Angel investors",500000.0,500000.0,1,1,1,1,0,Aggressive Investor
"Amit Singhal, PK Gulati & others",450000.0,450000.0,1,1,1,1,0,Aggressive Investor
"Amit Tyagi, Sandeep Acharya & others",165000.0,165000.0,1,1,1,1,0,Aggressive Investor
"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",250000.0,250000.0,1,1,1,1,0,Aggressive Investor
"Anand Sankeshwar, Yang Shu",963000.0,963000.0,1,1,1,1,0,Aggressive Investor
"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",100000.0,100000.0,1,1,1,1,0,Aggressive Investor
"Aneesh Seth, Tushar Mittal",150000.0,150000.0,1,1,1,1,0,Aggressive Investor
AngelPrime,1000000.0,500000.0,2,2,1,1,0,Aggressive Investor
Anglian Omega Network,350000.0,350000.0,1,1,1,1,0,Aggressive Investor
Anicut Capital,4650000.0,4650000.0,1,1,1,1,0,Aggressive Investor
Anil Jain & other HNIs,3200000.0,3200000.0,1,1,1,1,0,Aggressive Investor
"Anil Matai, Vikram Tandon, Shyam Sundar R & others",1000000.0,1000000.0,1,1,1,1,0,Aggressive Investor
Anil Menon,100000.0,100000.0,1,1,1,1,0,Aggressive Investor
"Anirudh Damani, Vikram Lakhotia",200000.0,200000.0,1,1,1,1,0,Aggressive Investor
"Ankit Gupta, Puneet Motihar",325000.0,325000.0,1,1,1,1,0,Aggressive Investor
Ankur Gupta,750000.0,750000.0,1,1,1,1,0,Aggressive Investor
Ankush Mehta,145000.0,145000.0,1,1,1,1,0,Aggressive Investor
"Anupam Mittal, Amit Gupta, Utsav Somani, Neeraj Goenka, Farooq Adam Mukadam",370000.0,370000.0,1,1,1,1,0,Aggressive Investor
"Anupam Mittal, Sharad Sharma & 14 others",500000.0,500000.0,1,1,1,1,0,Aggressive Investor
"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others",400000.0,400000.0,1,1,1,1,0,Aggressive Investor
Aramex Ventures Llc,2000000.0,2000000.0,1,1,1,1,0,Aggressive Investor
"Arihant Patni, RAAY Global Investments",1530000.0,1530000.0,1,1,1,1,0,Aggressive Investor
"Arihant Patni, Vishal Khare,  Viswanath Ramachandran",350000.0,350000.0,1,1,1,1,0,Aggressive Investor
"Arjun Handa, Amit Jindal, Nagendra Chaudhary",1000000.0,1000000.0,1,1,1,1,0,Aggressive Investor
"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",776000.0,776000.0,1,1,1,1,0,Aggressive Investor
Artiman Ventures,4000000.0,4000000.0,1,1,1,1,0,Aggressive Investor
"Arun Chandra Mohan, Praveen Sinha",2000000.0,2000000.0,1,1,1,1,0,Aggressive Investor
"Arun Tadanki, Aditya Verma",245000.0,245000.0,1,1,1,1,0,Aggressive Investor
"Ascent Capital, Kalaari Capital",12000000.0,12000000.0,1,1,1,1,0,Aggressive Investor
Asha Jadeja Motwani & Others,300000.0,300000.0,1,1,1,1,0,Aggressive Investor
Ashish Jhalani,100000.0,100000.0,1,1,1,1,0,Aggressive Investor
"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",350000.0,350000.0,1,1,1,1,0,Aggressive Investor
Ashok Agarwal,1500000.0,1500000.0,1,1,1,1,0,Aggressive Investor
"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",104000.0,104000.0,1,1,1,1,0,Aggressive Investor
"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",500000.0,500000.0,1,1,1,1,0,Aggressive Investor
AskMe,20000000.0,20000000.0,1,1,1,1,0,Aggressive Investor
"Aspada Advisors, IDG Ventures,  Inventus Capital",5000000.0,5000000.0,1,1,1,1,0,Aggressive Investor
"Aspada Investment Advisors, Blume Ventures.",650000.0,650000.0,1,1,1,1,0,Aggressive Investor
